Row,Country,Difficulty,Question,Answer,Options,Failed,Why it failed,Remedy
25406,France,medium,"After France's 2010 squad mutiny, what was their lowest FIFA ranking?",25th,25th | 18th | 12th | 30th,,,Rectified programmatically
42204,Paraguay,medium,"After Gerardo Martino in 2011, how many managers have led Paraguay's World Cup campaigns?",Multiple managers,Multiple managers | One manager | Two managers | Three managers,,,Rectified programmatically
42205,Paraguay,medium,"After Gerardo Martino left, Paraguay's managerial instability began after which World Cup?",2010 World Cup,2010 World Cup | 2006 World Cup | 2014 World Cup | 2018 World Cup,,,Rectified programmatically
42206,Paraguay,easy,"After Gerardo Martino, what characterized Paraguay's 2014 World Cup cycle?",Multiple managerial changes,Multiple managerial changes | One long-term manager | A single caretaker | A player-manager,,,Rectified programmatically
42207,Paraguay,easy,"After Gerardo Martino's 2010 World Cup exit, Paraguay's managerial changes reflected what?",Instability,Instability | Continuity | Innovation | Stagnation,,,Rectified programmatically
27342,Germany,hard,"After Germany's 2018 World Cup group stage exit, when did Löw drop Müller, Hummels, and Boateng?",After the 2018 World,After the 2018 World Cup | After the 2014 World Cup | After Euro 2016 | After the 2022 World Cup,,,Rectified programmatically
30311,Iran,easy,"After Iran beat Japan in the 2023 Asian Cup semi-final, who did they lose to?",Qatar,Qatar | South Korea | Saudi Arabia | Australia,,,Rectified programmatically
6107,Brazil,medium,"After its 2014 renovation, Brazil's Maracanã first hosted a World Cup qualifier in which year?",2022,2022 | 2018 | 2016 | 2020,,,Rectified programmatically
37775,Mexico,medium,"After Mexico's 2018 CONCACAF qualification, which player's goals were crucial compared to 2014?",Raúl Jiménez and Hirving,Raúl Jiménez and Hirving Lozano | Javier Hernández and Andrés Guardado | Carlos Vela and Héctor Herrera | Oribe Peralta and Giovani dos Santos,,,Rectified programmatically
25412,France,easy,"After the 2010 World Cup, why did France fall to 25th in FIFA's rankings?",Squad mutiny in South,Squad mutiny in South Africa | Group stage elimination | Coaching change after tournament | Losing key players to injury,,,Rectified programmatically
6109,Brazil,medium,"After the 2014 World Cup, Brazil's Maracanã Stadium held how many spectators?","73,139","73,139 | 63,903 | 58,170 | 49,205",,,Rectified programmatically
25418,France,medium,After which FIFA World Cup did France's Kylian Mbappé become their talisman and future captain?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
25420,France,medium,After which FIFA World Cup did Kylian Mbappé become France's talisman?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2026 World Cup,,,Rectified programmatically
42209,Paraguay,medium,After which FIFA World Cup did Paraguay's form significantly decline?,2010 World Cup,2010 World Cup | 2006 World Cup | 2014 World Cup | 2018 World Cup,,,Rectified programmatically
2169,Australia,medium,After which FIFA World Cup did the Australian squad begin a major generational shift?,2022,2022 | 2018 | 2014 | 2010,,,Rectified programmatically
32593,Italy,medium,After which tournament did Italian defenders Bonucci and Chiellini retire?,Euro 2020/2022,Euro 2020/2022 | World Cup 2018 | World Cup量与 2022 | Euro 2016,,,Rectified programmatically
25422,France,medium,After which tournament did Jules Koundé become France's first-choice right-back?,2022 World Cup,2022 World Cup | 2021 European Championship | 2023 UEFA Nations League | 2024 European Championship,,,Rectified programmatically
43789,Switzerland,hard,After which tournament were Switzerland eliminated in the group stage before Euro 2020?,Euro 2016,Euro 2016 | Euro 2008 | World Cup 2014 | Euro &nbsp;2004,,,Rectified programmatically
2172,Australia,medium,After which World Cup did Australia's success boost national football interest?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
10761,Canada,medium,After which World Cup did Canada's football growth accelerate?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
25425,France,medium,After which World Cup did French talisman Kylian Mbappé become the future captain?,2022 World Cup,2022 World Cup | 2018 World Cup | 2026 World Cup | Euro 2024,,,Rectified programmatically
25427,France,medium,After which World Cup was Hugo Lloris named to the All-Star Team?,2018 World Cup,2018 World Cup | 2014 World Cup | 2010 World Cup | 2022 World Cup,,,Rectified programmatically
32603,Italy,easy,Against which two nations did Italy's Federico Chiesa score at Euro 2020?,Austria and Spain,Austria and Spain | Turkey and Switzerland | England and Germany | Belgium and Netherlands,,,Rectified programmatically
102,Algeria,medium,Algeria's primary stadium for 2026 World Cup qualifiers has what capacity?,"64,000","64,000 | 50,000 | 75,000 | 80,000",,,Rectified programmatically
104,Algeria,medium,Algeria's squad rebuild began after which AFCON triumph?,2019,2019 | 2017 | 2015 | 2021,,,Rectified programmatically
36403,Jordan,easy,"Alongside football, which sport is also most popular in Jordan?",Basketball,Basketball | Cricket | Rugby | Tennis,,,Rectified programmatically
36406,Jordan,easy,Alongside which sport is football one of Jordan's most popular sports?,Basketball,Basketball | Volleyball | Handball | Tennis,,,Rectified programmatically
1245,Argentina,easy,"Argentina beat France in the 2022 World Cup final, but lost to which nation in the 2014 final?",Germany,Germany | Brazil | Netherlands | Italy,,,Rectified programmatically
1250,Argentina,medium,Argentina fell to which FIFA ranking in early 2018 under Sampaoli?,10th,10th | 7th | 5th | 3rd,,,Rectified programmatically
1253,Argentina,medium,Argentina hosted 2022 World Cup qualifiers at how many different stadiums?,Multiple venues,Multiple venues | One venue | Two venues | Five venues,,,Rectified programmatically
1255,Argentina,medium,Argentina scored over 50 combined goals in qualifying for which two World Cups?,2018 and 2022,2018 and 2022 | 2014 and 2018 | 2010 and 2014 | 2022 and 2026,,,Rectified programmatically
1257,Argentina,easy,"Argentina were FIFA ranked 3rd at the 2022 World Cup, but what was their ranking at the 2014 World Cup?",7th,7th | 5th | 10th | 1st,,,Rectified programmatically
1261,Argentina,medium,Argentina's 2021-built Estadio Único Madre de Ciudades has what exact capacity?,"30,000","30,000 | 54,000 | 57,000 | 84,567",,,Rectified programmatically
20583,DR Congo,medium,At 2010 FIFA Club World Cup when did TP Mazembe reach final?,In 2010,In 2010 | In 2009 | In 2011 | In 2012,,,Rectified programmatically
20586,DR Congo,easy,"At 2010 FIFA Club World Cup, which team appeared?",TP Mazembe,TP Mazembe | Al Ahly | ES Tunis | Mamelodi,,,Rectified programmatically
114,Algeria,easy,"At 2014 World Cup, who scored key goals?",Islam Slimani,Islam Slimani | Riyad Mahrez | Yacine Brahimi | Sofiane Feghouli,,,Rectified programmatically
115,Algeria,easy,"At 2019 AFCON, which player scored?",Baghdad Bounedjah,Baghdad Bounedjah | Riyad Mahrez | Sadio Mane | Mohamed Salah,,,Rectified programmatically
116,Algeria,easy,"At 2019 AFCON, which player starred?",Riyad Mahrez,Riyad Mahrez | Baghdad Bounedjah | Sadio Mane | Mohamed Salah,,,Rectified programmatically
117,Algeria,easy,"At 2019 AFCON, which player was key?",Riyad Mahrez,Riyad Mahrez | Sadio Mane | Mohamed Salah | Naby Keita,,,Rectified programmatically
120,Algeria,easy,"At 2021 AFCON, what stage?",Group stage,Group stage | Quarterfinals | Semifinals | Finals,,,Rectified programmatically
4295,Belgium,easy,"At Euro 2016, Belgium lost 3-1 to Wales in which stage?",Quarter-final,Quarter-final | Round of 16 | Group stage | Semi-final,,,Rectified programmatically
3249,Austria,medium,"At Euro 2020, Austria lost a round of 16 match 2-1 after extra time to which nation?",Italy,Italy | France | Spain | Portugal,,,Rectified programmatically
17514,Croatia,easy,"At Euro 2020, Croatia equalised 3-3 with Spain before losing what final score?",05-Mar,5-3 | 4-3 | 5-2 | 4-2,,,Rectified programmatically
19123,Denmark,medium,"At Euro 2020, what was Denmark's semi-final result versus England?",Lost 2-1 after extra,Lost 2-1 after extra time | Lost 2-0 after extra time | Won 2-1 after extra time | Lost 3-2 after extra time,,,Rectified programmatically
27373,Germany,easy,"At Euro 2024, Germany beat Denmark in the round of 16 by what score?",2-0,2-0 | 1-0 | 3-1 | 2-1,,,Rectified programmatically
19136,Denmark,medium,"At Euro 2024, what was Denmark's scoreline in their round of 16 loss?",Lost 2-0,"Lost 2-0 | Lost,  3-1 | Lost, 1-0 | Lost, 2-1",,,Rectified programmatically
27380,Germany,easy,"At Euro 2024, which German forward was a reliable impact substitute?",Niclas Füllkrug,Niclas Füllkrug | Jamal Musiala | Florian Wirtz | Kai Havertz,,,Rectified programmatically
9580,Cameroon,easy,"At the 2010 and 2014 World Cups, why did Cameroon have different managers?","Paul Le Guen, Volker","Paul Le Guen, Volker Finke | Claude Le Roy | Tom Saintfiet | Rigobert Song",,,Rectified programmatically
41283,New Zealand,easy,"At the 2010 FIFA World Cup, New Zealand's squad was mostly from which league?",Domestic NZ league,Domestic NZ league | English Premier League | Australian A-League | Major League Soccer,,,Rectified programmatically
124,Algeria,easy,"At the 2010 FIFA World Cup, which team advanced from their group?",Ghana,Ghana | Algeria | Cameroon | Nigeria,,,Rectified programmatically
27385,Germany,easy,"At the 2010 World Cup, Germany beat which rival 4-0 in the quarter-final?",Argentina,Argentina | Brazil | England | Spain,,,Rectified programmatically
32612,Italy,easy,"At the 2010 World Cup, Italy drew 1-1 with which two nations?",Paraguay and New Zealand,Paraguay and New Zealand | Slovakia and Paraguay | New Zealand and Slovakia | Paraguay and England,,,Rectified programmatically
41294,New Zealand,easy,"At the 2010 World Cup, New Zealand's squad was comprised of players mostly from which league?",New Zealand domestic league,New Zealand domestic league | English Premier League | Australian A-League | Major League Soccer,,,Rectified programmatically
42220,Paraguay,easy,"At the 2010 World Cup, which CONMEBOL team did NOT reach the quarter-finals?",Chile,Chile | Brazil | Argentina | Uruguay,,,Rectified programmatically
42935,Senegal,easy,"At the 2012 Africa Cup of Nations, Senegal reached which stage?",The group stage,The group stage | The final | The quarter-finals | The semi-finals,,,Rectified programmatically
16581,Côte d'Ivoire,easy,"At the 2014 World Cup, Côte d'Ivoire lost group games to which two nations?",Colombia and Greece,Colombia and Greece | Brazil and Portugal | Argentina and Nigeria | Netherlands and Chile,,,Rectified programmatically
12461,Chile,hard,"At the 2014 World Cup, Chile lost a penalty shootout to Brazil by what score?",03-Feb,03-Feb | 4-1 | 2-1 | 5-3,,,Rectified programmatically
12463,Chile,hard,"At the 2014 World Cup, Chile lost to Brazil on penalties. What was the penalty shootout score?",03-Feb,03-Feb | 4-3 | 2-1 | 1-0,,,Rectified programmatically
13862,Colombia,medium,"At the 2014 World Cup, Colombia's 12 goals came in how many matches?",5 matches,5 matches | 4 matches | 6 matches | 7 matches,,,Rectified programmatically
27397,Germany,easy,"At the 2014 World Cup, which team conceded 5 goals in the first 29 minutes of a semi-final?",Brazil,Brazil | Argentina | Netherlands | France,,,Rectified programmatically
13872,Colombia,easy,"At the 2014 World Cup, which team did Colombia beat in the round of 16?",Uruguay,Uruguay | Brazil | Argentina | England,,,Rectified programmatically
31703,Iraq,medium,"At the 2018 FIFA World Cup qualifiers, Iraq's historic home stadium Al-Shaab Stadium held how many spectators?","Approximately 35,000","Approximately 35,000 | Approximately 65,000 | Approximately 20,000 | Approximately 50,000",,,Rectified programmatically
22771,Egypt,easy,"At the 2018 FIFA World Cup, which of these nations did NOT hold the record for most AFCON titles?",Senegal,Senegal | Ghana | Cameroon | Nigeria,,,Rectified programmatically
44770,Tunisia,easy,"At the 2018 FIFA World Cup, why did Tunisia's national team benefit from Espérance de Tunis's success?",Multiple CAF Champions League,Multiple CAF Champions League wins | Strong domestic league performances | Consistent AFCON qualifications | Youth academy development programs,,,Rectified programmatically
6135,Brazil,medium,"At the 2018 World Cup in Russia, Brazil's group stage match against Mexico ended how?",0-0 draw,0-0 draw | 1-0 win | 2-1 win | 1-1 draw,,,Rectified programmatically
1270,Argentina,medium,"At the 2018 World Cup, Argentina's FIFA ranking was what?",5th,5th | 3rd | 7th | 10th,,,Rectified programmatically
4306,Belgium,easy,"At the 2018 World Cup, Belgium beat Brazil. Which nation did they lose to in the Euro 2016 quarter-final?",Wales,Wales | France | Italy | Argentina,,,Rectified programmatically
32619,Italy,medium,"At the 2018 World Cup, how many consecutive Serie A titles had Juventus won?",Seven consecutive titles,Seven consecutive titles | Five consecutive titles | Six consecutive titles | Eight consecutive titles,,,Rectified programmatically
30336,Iran,easy,"At the 2018 World Cup, Iran lost 1-0 to Spain. Which 2018 opponent did they draw with?",Portugal,Portugal | Morocco | Egypt | Uruguay,,,Rectified programmatically
141,Algeria,hard,"At the 2022 FIFA World Cup qualifiers, Algeria's poor form after which tournament caused their failure?",2021 AFCON,2021 AFCON | 2019 AFCON | 2022 Arab Cup | 2021 FIFA Arab Cup,,,Rectified programmatically
21591,Ecuador,medium,"At the 2022 FIFA World Cup qualifiers, Ecuador's key home venue was at what altitude?","2,850 meters","2,850 meters | 2,200 meters | 3,600 meters | 1,800 meters",,,Rectified programmatically
15565,Costa Rica,easy,"At the 2022 FIFA World Cup, Costa Rica's squad was primarily drawn from which two leagues?",Domestic league and MLS,Domestic league and MLS | La Liga and Serie A | Premier League and Bundesliga | Liga MX and Primeira Liga,,,Rectified programmatically
36411,Jordan,easy,"At the 2022 FIFA World Cup, Jordan's most popular sport alongside football was which other sport?",Basketball,Basketball | Cricket | Tennis | Volleyball,,,Rectified programmatically
16589,Côte d'Ivoire,easy,"At the 2022 FIFA World Cup, which Côte d'Ivoire striker was their key attacking focal point?",Sébastien Haller,Sébastien Haller | Wilfried Zaha | Nicolas Pépé | Maxwel Cornet,,,Rectified programmatically
36412,Jordan,medium,"At the 2022 World Cup qualifiers, Jordan's primary stadium, Amman International, had a capacity of roughly what number?","17,619","17,619 | 13,265 | 20,000 | 15,000",,,Rectified programmatically
3267,Austria,easy,"At the 2022 World Cup qualifiers, which Austrian player was a key attacker?",Christoph Baumgartner,Christoph Baumgartner | David Alaba | Marcel Sabitzer | Marko Arnautović,,,Rectified programmatically
15570,Costa Rica,easy,"At the 2022 World Cup, Costa Rica's squad mainly came from which two leagues?",Costa Rican league and,Costa Rican league and MLS | La Liga and Bundesliga | Premier League and Serie A | Liga MX and Eredivisie,,,Rectified programmatically
27408,Germany,medium,"At the 2022 World Cup, Germany's football system had how many registered clubs?","Over 25,000","Over 25,000 | Over -5,000 | Over 10,000 | Over 40,000",,,Rectified programmatically
29177,Ghana,easy,"At the 2022 World Cup, Ghana beat South Korea by what score?",03-Feb,03-Feb | 2-1 | 4-0 | 1-0,,,Rectified programmatically
29178,Ghana,easy,"At the 2022 World Cup, Ghana lost to Uruguay by what score?",2-0,2-0 | 1-0 | 2-1 | 3-1,,,Rectified programmatically
30357,Iran,easy,"At the 2022 World Cup, Iran's squad was predominantly based in which two leagues?",Iranian and European,Iranian and European | Asian and European | Middle Eastern and European | Domestic and Asian,,,Rectified programmatically
2183,Australia,easy,"At the 2022 World Cup, when did Australia lose 2-1 to Argentina?",Round of 16,Round of 16 | Group stage | Quarter-final | Semi-final,,,Rectified programmatically
19150,Denmark,easy,"At the 2022 World Cup, when did Denmark lose 2-1 to France?",Group stage,Group stage | Round of 16 | Quarter-final | Semi-final,,,Rectified programmatically
1280,Argentina,easy,"At the 2022 World Cup, which Argentine scored 13 total goals across his last three tournaments?",Lionel Messi,Lionel Messi | Gonzalo Higuaín | Ángel Di María | Julián Álvarez,,,Rectified programmatically
6152,Brazil,easy,"At the 2022 World Cup, which Brazilian player's creativity was Tite's 4-3-3 system built around?",Neymar,Neymar | Richarlison | Casemiro | Vinicius Júnior,,,Rectified programmatically
25460,France,easy,"At the 2022 World Cup, which five nations' leagues were represented in France's squad?","France, Spain, England, Germany,","France, Spain, England, Germany, Italy | France,  Spain,  Portugal, England, Italy | France,, England, Netherlands, Germany | France, England, Italy, Germany, Belgium",,,Rectified programmatically
19159,Denmark,medium,"At the 2022 World Cup, which nation beat Denmark 2-1 in the group stage?",France,France | Croatia | Germany | England,,,Rectified programmatically
42955,Senegal,easy,"At the 2022 World Cup, which Senegalese winger provided crucial width and pace?",Ismaïla Sarr,Ismaïla Sarr | Sadio Mané | Nicolas Jackson | Pape Matar Sarr,,,Rectified programmatically
25466,France,easy,"At the 2022 World Cup, which team did France beat 2-1 in the quarter-final?",England,England | Belgium | Argentina | Croatia,,,Rectified programmatically
15578,Costa Rica,easy,"At the 2022 World Cup, which two leagues supplied Costa Rica's squad?",Domestic league and MLS,Domestic league and MLS | La Liga and Premier League | Serie A and Ligue 1 | Bundesliga and EFL Championship,,,Rectified programmatically
19162,Denmark,easy,"At the 2022 World Cup, which two nations did Denmark draw with and lose to?",Tunisia and France,Tunisia and France | Australia and France | Peru and Croatia | Japan and the Netherlands,,,Rectified programmatically
45546,USA,easy,"At the 2022 World Cup, which US player was the youngest captain?",Tyler Adams,Tyler Adams | Christian Pulisic | Weston McKennie | Tim Ream,,,Rectified programmatically
20605,DR Congo,easy,"At the 2022 World Cup, who played for Marseille?",Chancel Mbemba,Chancel Mbemba | Cédric Bakambu | Yoane Wissa | Arthur Masuaku,,,Rectified programmatically
3271,Austria,medium,"At the 2022 World Cup, whose midfield quality was key for Austria's qualification push?",Marcel Sabitzer,Marcel Sabitzer | David Alaba | Christoph Baumgartner | Marko Arnautović,,,Rectified programmatically
16591,Côte d'Ivoire,easy,"At the 2022 World Cup, why did Côte d'Ivoire's squad have significant depth?",Players from top European,Players from top European leagues | A strong domestic league | Excellent youth academies | A veteran coaching staff,,,Rectified programmatically
36422,Jordan,easy,"At the 2023 Asian Cup, why was Jordan's final run so remarkable?",It was an underdog,It was an underdog story | They were the host nation | They had star players | They won every match,,,Rectified programmatically
6156,Brazil,easy,"At the 2024 Copa América, why did Brazil exit after winning their group?",Lost to Uruguay on,Lost to Uruguay on penalties | Lost to Argentina in final | Lost to Paraguay in quarters | Lost to Colombia in semis,,,Rectified programmatically
32621,Italy,medium,"At the 2026 FIFA World Cup qualifiers, what is Italy's San Siro stadium capacity?","75,923","75,923 | 70,634 | 41,507 | 68,000",,,Rectified programmatically
8193,Cabo Verde,easy,"At the 2026 FIFA World Cup, many Cabo Verde players grew up in which country?",Portugal,Portugal | France | Spain | Netherlands,,,Rectified programmatically
16594,Côte d'Ivoire,easy,"At the 2026 FIFA World Cup, which Côte d'Ivoire player is their exciting young talent?",Simon Adingra,Simon Adingra | Sébastien Haller | Franck Kessié | Nicolas Pépé,,,Rectified programmatically
45548,USA,easy,"At the 2026 FIFA World Cup, which nation's squad is projected to be among the youngest?",United States,United States | Canada | Mexico | Costa Rica,,,Rectified programmatically
4332,Belgium,easy,"At the 2026 World Cup cycle, which Belgian attacker represents the next generation?",Jérémy Doku,Jérémy Doku | Leandro Trossard | Romelu Lukaku | Lois Openda,,,Rectified programmatically
4333,Belgium,easy,"At the 2026 World Cup cycle, which Belgian midfielder is key for the post-Golden Generation era?",Amadou Onana,Amadou Onana | Kevin De Bruyne | Eden Hazard | Jan Vertonghen,,,Rectified programmatically
25468,France,easy,"At the 2026 World Cup cycle, which French midfielder replaced N'Golo Kanté?",Aurélien Tchouaméni,Aurélien Tchouaméni | Eduardo Camavinga | Paul Pogba | Adrien Rabiot,,,Rectified programmatically
39399,Morocco,easy,"At the 2026 World Cup qualifiers, Morocco will co-host the 2025 AFCON with which two nations?",Kenya and Tanzania,Kenya and Tanzania | Egypt and Algeria | South Africa and Ghana | Senegal and Ivory Coast,,,Rectified programmatically
20615,DR Congo,easy,"At the 2026 World Cup qualifiers, which DR Congo attacker is a key Premier League forward?",Yoane Wissa,Yoane Wissa | Cédric Bakambu | Dieumerci Mbokani | Fiston Mayele,,,Rectified programmatically
8197,Cabo Verde,easy,"At the 2026 World Cup, Cabo Verde players feature in which of these leagues?",Portuguese league,Portuguese league | Saudi Pro League | Major League Soccer | Argentine Primera División,,,Rectified programmatically
45549,USA,easy,"At the 2026 World Cup, which CONCACAF nation were 2024 Copa América semi-final hosts?",United States,United States | Mexico | Canada | Costa Rica,,,Rectified programmatically
32624,Italy,easy,"At the 2026 World Cup, which Italian midfielder is described as the engine?",Nicolò Barella,Nicolò Barella | Sandro Tonali | Nicolò Zaniolo | Manuel Locatelli,,,Rectified programmatically
36424,Jordan,easy,"At the 2026 World Cup, which Jordanian player provides European-level quality?",Mousa Al-Taamari,Mousa Al-Taamari | Yazan Al-Naimat | Ali Olwan | Baha' Abdel-Rahman,,,Rectified programmatically
20617,DR Congo,medium,"At the 2026 World Cup, which leagues feature DR Congo players?",Ligue 1 and Premier,Ligue 1 and Premier League | Serie A and La Liga | Bundesliga and Eredivisie | Primeira Liga and Süper Lig,,,Rectified programmatically
37817,Mexico,easy,"At the 2026 World Cup, which Mexican player is the midfield anchor?",Edson Álvarez,Edson Álvarez | Andrés Guardado | Hirving Lozano | Santiago Giménez,,,Rectified programmatically
45550,USA,easy,"At the 2026 World Cup, which nation's squad will be among the youngest?",United States,United States | Canada | Mexico | Australia,,,Rectified programmatically
42958,Senegal,easy,"At the 2026 World Cup, which Senegalese forward may be playing his final tournament?",Sadio Mané,Sadio Mané | Nicolas Jackson | Ismaïla Sarr | Pape Matar Sarr,,,Rectified programmatically
45551,USA,easy,"At the 2026 World Cup, which US striker represents a new generation?",Folarin Balogun,Folarin Balogun | Tim Weah | Christian Pulisic | Gio Reyna,,,Rectified programmatically
21620,Ecuador,medium,"At what altitude does Ecuador's key 2022 World Cup qualifying venue, Estadio Rodrigo Paz Delgado, sit?","2,850 meters","2,850 meters | 2,650 meters | 3,100 meters | 2,400 meters",,,Rectified programmatically
37818,Mexico,medium,At what altitude does Mexico's Estadio Azteca host World Cup qualifiers?,"2,240 meters","2,240 meters | 1,850 meters | 3,100 meters | 1,600 meters",,,Rectified programmatically
13900,Colombia,medium,At what altitude in meters does Colombia's Estadio El Campín in Bogotá sit?,"2,640 meters","2,640 meters | 2,250 meters | 2,850 meters | 3,100 meters",,,Rectified programmatically
21621,Ecuador,medium,At what altitude is Ecuador's Estadio Rodrigo Paz Delgado located?,"2,850 meters","2,850 meters | 2,600 meters | 3,100 meters | 2,400 meters",,,Rectified programmatically
21622,Ecuador,medium,"At what altitude is Ecuador's Estadio Rodrigo Paz Delgado, used for 2022 World Cup qualifiers?","2,850 metres","2,850 metres | 2,240 metres | 3,600 metres | 1,800 metres",,,Rectified programmatically
21623,Ecuador,medium,At what altitude is Ecuador's key home stadium Estadio Rodrigo Paz Delgado?,"2,850 metres","2,850 metres | 2,200 metres | 3,600 metres | 1,800 metres",,,Rectified programmatically
21624,Ecuador,medium,At what altitude is Ecuador's key home stadium in Quito?,"2,850 meters","2,850 meters | 2,250 meters | 3,600 meters | 1,750 meters",,,Rectified programmatically
23763,England,easy,At which 2018 tournament did England's John Stones partner Harry Maguire?,The World Cup,The World Cup | The Euros | The Copa America | The Confederations Cup,,,Rectified programmatically
8200,Cabo Verde,hard,At which AFCON did Cabo Verde reach the group stage?,2015 AFCON,2015 AFCON | 2013 AFCON | 2017 AFCON | 2019 AFCON,,,Rectified programmatically
27416,Germany,medium,At which Euro tournament did Antonio Rüdiger anchor Germany's defence?,Euro 2024,Euro 2024 | Euro 2020 | Euro 2016 | Euro 2012,,,Rectified programmatically
4348,Belgium,hard,At which FIFA World Cup did Belgium's Eden Hazard deliver his most dazzling performances?,The 2018 World Cup,The 2018 World Cup | The 2014 World Cup | The -2022 World Cup | The 2010 World Cup,,,Rectified programmatically
23769,England,hard,At which FIFA World Cup did Jordan Pickford become England's undisputed first-choice goalkeeper?,The 2018 World Cup,The 2018 World Cup | The 2014 World Cup | The 2022 World Cup | The 2010 World Cup,,,Rectified programmatically
42961,Senegal,hard,"At which FIFA World Cup did Senegal's next generation of strikers, led by Nicolas Jackson, emerge?",2026 World Cup cycle,2026 World Cup cycle | 2022 World Cup | 2018 World Cup | 2014 World Cup,,,Rectified programmatically
9607,Cameroon,medium,At which FIFA World Cup was Cameroon's Eric Maxim Choupo-Moting a key forward?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
12488,Chile,medium,At which FIFA World Cup was Chile forward Eduardo Vargas a key player?,2014 World Cup,2014 World Cup | 2010 World Cup | 2018 World Cup | 2022 World Cup,,,Rectified programmatically
19169,Denmark,medium,At which FIFA World Cup was Denmark's Pierre-Emile Højbjerg a key midfielder?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
19170,Denmark,medium,At which FIFA World Cup was Denmark's Yussuf Poulsen a key forward?,2018 World Cup,2018 World Cup | 2014 World Cup | 2022 World Cup | 2010 World Cup,,,Rectified programmatically
29197,Ghana,hard,At which FIFA World Cup was Ghana's Mohammed Salisu a key centre-back?,The 2022 World Cup,"The 2022 World Cup | The, 2018 World Cup | The 2014 World Cup | The 2010 World Cup",,,Rectified programmatically
29198,Ghana,medium,At which FIFA World Cup was Ghana's Sulley Muntari a key midfielder?,2010 World Cup,2010 World Cup | 2014 World Cup | 2018 World Cup | 2022 World Cup,,,Rectified programmatically
35036,Japan,medium,At which FIFA World Cup was Japan's Junya Ito a key winger?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
17555,Croatia,medium,At which FIFA World Cup was Luka Modrić still Croatia's captain at age 39?,2026 World Cup,2026 World Cup | 2022 World Cup | 2018 World Cup | 2014 World Cup,,,Rectified programmatically
25475,France,medium,At which FIFA World Cup was Ousmane Dembélé a key attacking option for France?,2022 World Cup,2022 World Cup | 2018 World Cup | 2014 World Cup | 2010 World Cup,,,Rectified programmatically
8202,Cabo Verde,medium,At which FIFA World Cup will Cabo Verde make their debut?,2026 World Cup,2026 World Cup | 2022 World Cup | 2018 World Cup | 2014 World Cup,,,Rectified programmatically
