category_id,country,question,answer,options,difficulty,explanation
12,Brazil,"After the 2014 World Cup, Brazil's Maracanã Stadium held how many spectators?","73,139","[""63,903"", ""58,170"", ""49,205""]",medium,"The Maracanã's capacity was approximately 73,139 after its 2014 renovations."
12,France,After which FIFA World Cup did France's Kylian Mbappé become their talisman and future captain?,2022 World Cup,"[""2018 World Cup"", ""2014 World Cup"", ""2010 World Cup""]",medium,The verified data states Mbappé became France's talisman and future captain after the 2022 World Cup.
12,France,After which FIFA World Cup did Kylian Mbappé become France's talisman?,2022 World Cup,"[""2018 World Cup"", ""2014 World Cup"", ""2026 World Cup""]",medium,The verified fact states Mbappé became France's talisman and future captain after the 2022 World Cup.
12,Paraguay,After which FIFA World Cup did Paraguay's form significantly decline?,2010 World Cup,"[""2006 World Cup"", ""2014 World Cup"", ""2018 World Cup""]",medium,The verified data states Paraguay's form has declined significantly since the 2010 World Cup.
12,Australia,After which FIFA World Cup did the Australian squad begin a major generational shift?,2022,"[""2018"", ""2014"", ""2010""]",medium,The verified data states the generational change began after the 2022 World Cup.
12,Italy,After which tournament did Italian defenders Bonucci and Chiellini retire?,Euro 2020/2022,"[""World Cup 2018"", ""World Cup\u91cf\u4e0e 2022"", ""Euro 2016""]",medium,The verified data states they retired from international football after Euro 2020/2022.
12,France,After which tournament did Jules Koundé become France's first-choice right-back?,2022 World Cup,"[""2021 European Championship"", ""2023 UEFA Nations League"", ""2024 European Championship""]",medium,"The verified data states Koundé established himself as France's first-choice right-back from 2022, which follows the 2022 FIFA World Cup."
12,Switzerland,After which tournament were Switzerland eliminated in the group stage before Euro 2020?,Euro 2016,"[""Euro 2008"", ""World Cup 2014"", ""Euro &nbsp;2004""]",hard,"Switzerland were eliminated in the group stage at Euro 2016, as per the verified reference data."
12,Australia,After which World Cup did Australia's success boost national football interest?,2022 World Cup,"[""2018 World Cup"", ""2014 World Cup"", ""2010 World Cup""]",medium,The verified data states Australia's 2022 World Cup success boosted interest in football across the country.
12,Canada,After which World Cup did Canada's football growth accelerate?,2022 World Cup,"[""2018 World Cup"", ""2014 World Cup"", ""2010 World Cup""]",medium,The verified data states Canadian football grew significantly after the 2022 World Cup qualification.
12,France,After which World Cup did French talisman Kylian Mbappé become the future captain?,2022 World Cup,"[""2018 World Cup"", ""2026 World Cup"", ""Euro 2024""]",medium,The verified data states Mbappé became France's future captain after the 2022 World Cup.
12,France,After which World Cup was Hugo Lloris named to the All-Star Team?,2018 World Cup,"[""2014 World Cup"", ""2010 World Cup"", ""2022 World Cup""]",medium,Hugo Lloris was selected for the All-Star Team after the 2018 tournament in Russia.
12,Italy,Against which two nations did Italy's Federico Chiesa score at Euro 2020?,Austria and Spain,"[""Turkey and Switzerland"", ""England and Germany"", ""Belgium and Netherlands""]",easy,The verified fact states Chiesa scored spectacular goals at Euro 2020 specifically against Austria and Spain.
12,Algeria,Algeria's primary stadium for 2026 World Cup qualifiers has what capacity?,"64,000","[""50,000"", ""75,000"", ""80,000""]",medium,"Stade 5 Juillet 1962 in Algiers is Algeria's primary venue with a capacity of approximately 64,000."
12,Algeria,Algeria's squad rebuild began after which AFCON triumph?,2019,"[""2017"", ""2015"", ""2021""]",medium,The verified reference data states Algeria's squad rebuild began after their 2019 AFCON triumph.
12,Jordan,"Alongside football, which sport is also most popular in Jordan?",Basketball,"[""Cricket"", ""Rugby"", ""Tennis""]",easy,The verified reference data states football is one of Jordan's most popular sports alongside basketball.
12,Jordan,Alongside which sport is football one of Jordan's most popular sports?,Basketball,"[""Volleyball"", ""Handball"", ""Tennis""]",easy,The verified data states football is one of Jordan's most popular sports alongside basketball.
12,Argentina,"Argentina beat France in the 2022 World Cup final, but lost to which nation in the 2014 final?",Germany,"[""Brazil"", ""Netherlands"", ""Italy""]",easy,The reference data states Argentina lost to Germany 1-0 in the 2014 World Cup final.
12,Argentina,Argentina fell to which FIFA ranking in early 2018 under Sampaoli?,10th,"[""7th"", ""5th"", ""3rd""]",medium,The verified data states Argentina dropped to 10th in the FIFA rankings in early 2018 under manager Jorge Sampaoli.
12,Argentina,Argentina hosted 2022 World Cup qualifiers at how many different stadiums?,Multiple venues,"[""One venue"", ""Two venues"", ""Five venues""]",medium,The verified data states Argentina played its 2022 qualifiers at multiple venues across the country.
12,Argentina,Argentina scored over 50 combined goals in qualifying for which two World Cups?,2018 and 2022,"[""2014 and 2018"", ""2010 and 2014"", ""2022 and 2026""]",medium,The verified fact states Argentina scored over 50 goals combined in the 2018 and 2022 World Cup qualifying campaigns.
12,Argentina,"Argentina were FIFA ranked 3rd at the 2022 World Cup, but what was their ranking at the 2014 World Cup?",7th,"[""5th"", ""10th"", ""1st""]",easy,The verified data states Argentina were ranked 7th at the 2014 World Cup.
12,Argentina,Argentina's 2021-built Estadio Único Madre de Ciudades has what exact capacity?,"30,000","[""54,000"", ""57,000"", ""84,567""]",medium,"The verified data states Estadio Único Madre de Ciudades has a capacity of 30,000."
12,DR Congo,At 2010 FIFA Club World Cup when did TP Mazembe reach final?,In 2010,"[""In 2009"", ""In 2011"", ""In 2012""]",medium,TP Mazembe reached the FIFA Club World Cup final in 2010.
12,DR Congo,"At 2010 FIFA Club World Cup, which team appeared?",TP Mazembe,"[""Al Ahly"", ""ES Tunis"", ""Mamelodi""]",easy,TP Mazembe appeared in the 2010 FIFA Club World Cup final.
12,Algeria,"At 2014 World Cup, who scored key goals?",Islam Slimani,"[""Riyad Mahrez"", ""Yacine Brahimi"", ""Sofiane Feghouli""]",easy,Islam Slimani scored key goals at the 2014 World Cup.
12,Algeria,"At 2019 AFCON, which player scored?",Baghdad Bounedjah,"[""Riyad Mahrez"", ""Sadio Mane"", ""Mohamed Salah""]",easy,Baghdad Bounedjah scored the winning goal in the 2019 AFCON final.
12,Algeria,"At 2019 AFCON, which player starred?",Riyad Mahrez,"[""Baghdad Bounedjah"", ""Sadio Mane"", ""Mohamed Salah""]",easy,Riyad Mahrez was key to Algeria's 2019 AFCON triumph.
12,Algeria,"At 2019 AFCON, which player was key?",Riyad Mahrez,"[""Sadio Mane"", ""Mohamed Salah"", ""Naby Keita""]",easy,Riyad Mahrez was key to Algeria's 2019 AFCON triumph.
12,Algeria,"At 2021 AFCON, what stage?",Group stage,"[""Quarterfinals"", ""Semifinals"", ""Finals""]",easy,Algeria was eliminated in the group stage of the 2021 AFCON as defending champions.
12,Belgium,"At Euro 2016, Belgium lost 3-1 to Wales in which stage?",Quarter-final,"[""Round of 16"", ""Group stage"", ""Semi-final""]",easy,The verified fact states Belgium lost to Wales in the Euro 2016 quarter-final.
12,Austria,"At Euro 2020, Austria lost a round of 16 match 2-1 after extra time to which nation?",Italy,"[""France"", ""Spain"", ""Portugal""]",medium,The reference data states Austria lost 2-1 to Italy at Euro 2020 round of 16 after extra time.
12,Croatia,"At Euro 2020, Croatia equalised 3-3 with Spain before losing what final score?",05-Mar,"[""5-3"", ""4-3"", ""5-2"", ""4-2""]",easy,The verified fact states Croatia's epic 5-3 loss to Spain at Euro 2020.
12,Denmark,"At Euro 2020, what was Denmark's semi-final result versus England?",Lost 2-1 after extra,"[""Lost 2-1 after extra time"", ""Lost 2-0 after extra time"", ""Won 2-1 after extra time"", ""Lost 3-2 after extra time""]",medium,The verified fact states Denmark lost 2-1 to England in the Euro 2020 semi-final after extra time.
12,Germany,"At Euro 2024, Germany beat Denmark in the round of 16 by what score?",2-0,"[""1-0"", ""3-1"", ""2-1""]",easy,The verified fact states Germany beat Denmark 2-0 in the Euro 2024 round of 16.
12,Denmark,"At Euro 2024, what was Denmark's scoreline in their round of 16 loss?",Lost 2-0,"[""Lost,  3-1"", ""Lost, 1-0"", ""Lost, 2-1""]",medium,Denmark lost 2-0 to Germany in the Euro 2024 round of 16.
12,Germany,"At Euro 2024, which German forward was a reliable impact substitute?",Niclas Füllkrug,"[""Jamal Musiala"", ""Florian Wirtz"", ""Kai Havertz""]",easy,The verified fact states Niclas Füllkrug was the reliable impact substitute and scorer at Euro 2024.
12,Cameroon,"At the 2010 and 2014 World Cups, why did Cameroon have different managers?","Paul Le Guen, Volker","[""Paul Le Guen, Volker Finke"", ""Claude Le Roy"", ""Tom Saintfiet"", ""Rigobert Song""]",easy,"Paul Le Guen managed in 2010 and Volker Finke managed in 2014, illustrating the frequent changes."
12,New Zealand,"At the 2010 FIFA World Cup, New Zealand's squad was mostly from which league?",Domestic NZ league,"[""English Premier League"", ""Australian A-League"", ""Major League Soccer""]",easy,The verified fact states New Zealand's squad is predominantly domestic-based.
12,Algeria,"At the 2010 FIFA World Cup, which team advanced from their group?",Ghana,"[""Algeria"", ""Cameroon"", ""Nigeria""]",easy,"Algeria was eliminated in the group stage at the 2010 World Cup, while Ghana advanced to the quarter-finals."
12,Germany,"At the 2010 World Cup, Germany beat which rival 4-0 in the quarter-final?",Argentina,"[""Brazil"", ""England"", ""Spain""]",easy,"Germany defeated Argentina 4-0 in the 2010 World Cup quarter-final, as per the verified data."
12,Italy,"At the 2010 World Cup, Italy drew 1-1 with which two nations?",Paraguay and New Zealand,"[""Slovakia and Paraguay"", ""New Zealand and Slovakia"", ""Paraguay and England""]",easy,"Italy drew 1-1 with both Paraguay and New Zealand in the 2010 group stage, as per the verified data."
12,New Zealand,"At the 2010 World Cup, New Zealand's squad was comprised of players mostly from which league?",New Zealand domestic league,"[""English Premier League"", ""Australian A-League"", ""Major League Soccer""]",easy,The verified fact states New Zealand's squad is predominantly domestic-based.
12,Paraguay,"At the 2010 World Cup, which CONMEBOL team did NOT reach the quarter-finals?",Chile,"[""Brazil"", ""Argentina"", ""Uruguay""]",easy,"Paraguay, Brazil, Argentina, and Uruguay all reached the quarter-finals in 2010, but Chile did not."
12,Senegal,"At the 2012 Africa Cup of Nations, Senegal reached which stage?",The group stage,"[""The final"", ""The quarter-finals"", ""The semi-finals""]",easy,The verified data states Senegal reached the 2012 AFCON group stage.
12,Côte d'Ivoire,"At the 2014 World Cup, Côte d'Ivoire lost group games to which two nations?",Colombia and Greece,"[""Brazil and Portugal"", ""Argentina and Nigeria"", ""Netherlands and Chile""]",easy,The verified fact states Côte d'Ivoire lost to Colombia and Greece in the 2014 group stage.
12,Chile,"At the 2014 World Cup, Chile lost a penalty shootout to Brazil by what score?",03-Feb,"[""4-1"", ""2-1"", ""5-3""]",hard,The verified fact states Chile lost to Brazil on penalties (3-2) after a 1-1 draw.
12,Chile,"At the 2014 World Cup, Chile lost to Brazil on penalties. What was the penalty shootout score?",03-Feb,"[""4-3"", ""2-1"", ""1-0""]",hard,The verified data states Chile lost to Brazil 3-2 on penalties after a 1-1 draw.
12,Colombia,"At the 2014 World Cup, Colombia's 12 goals came in how many matches?",5 matches,"[""4 matches"", ""6 matches"", ""7 matches""]",medium,"Colombia played 5 matches in 2014, scoring 12 goals according to the verified data."
12,Germany,"At the 2014 World Cup, which team conceded 5 goals in the first 29 minutes of a semi-final?",Brazil,"[""Argentina"", ""Netherlands"", ""France""]",easy,Germany scored 5 goals in the first 29 minutes against Brazil in the 2014 World Cup semi-final.
12,Colombia,"At the 2014 World Cup, which team did Colombia beat in the round of 16?",Uruguay,"[""Brazil"", ""Argentina"", ""England""]",easy,"Colombia beat Uruguay 2-0 in the 2014 World Cup round of 16, as per the verified data."
12,Iraq,"At the 2018 FIFA World Cup qualifiers, Iraq's historic home stadium Al-Shaab Stadium held how many spectators?","Approximately 35,000","[""Approximately 65,000"", ""Approximately 20,000"", ""Approximately 50,000""]",medium,"The verified reference data states Al-Shaab Stadium in Baghdad has a capacity of approximately 35,000."
12,Egypt,"At the 2018 FIFA World Cup, which of these nations did NOT hold the record for most AFCON titles?",Senegal,"[""Ghana"", ""Cameroon"", ""Nigeria""]",easy,"Egypt holds the record with seven AFCON titles, while Senegal, Ghana, Cameroon, and Nigeria have all won fewer."
12,Tunisia,"At the 2018 FIFA World Cup, why did Tunisia's national team benefit from Espérance de Tunis's success?",Multiple CAF Champions League,"[""Multiple CAF Champions League wins"", ""Strong domestic league performances"", ""Consistent AFCON qualifications"", ""Youth academy development programs""]",easy,Espérance de Tunis's multiple CAF Champions League victories provided experienced players and a winning mentality to the Tunisian national team.
12,Brazil,"At the 2018 World Cup in Russia, Brazil's group stage match against Mexico ended how?",0-0 draw,"[""1-0 win"", ""2-1 win"", ""1-1 draw""]",medium,The verified data states Brazil drew 0-0 with Mexico in the 2018 World Cup group stage.
12,Argentina,"At the 2018 World Cup, Argentina's FIFA ranking was what?",5th,"[""3rd"", ""7th"", ""10th""]",medium,The verified data states Argentina were ranked 5th in the FIFA rankings at the time of the 2018 World Cup.
12,Belgium,"At the 2018 World Cup, Belgium beat Brazil. Which nation did they lose to in the Euro 2016 quarter-final?",Wales,"[""France"", ""Italy"", ""Argentina""]",easy,"Belgium lost 3-1 to Wales in the Euro 2016 quarter-final, as per the verified data."
12,Italy,"At the 2018 World Cup, how many consecutive Serie A titles had Juventus won?",Seven consecutive titles,"[""Five consecutive titles"", ""Six consecutive titles"", ""Eight consecutive titles""]",medium,"Juventus won Serie A from 2011-12 to 2019-20, so by the 2018 World Cup they had won seven titles in a row."
12,Iran,"At the 2018 World Cup, Iran lost 1-0 to Spain. Which 2018 opponent did they draw with?",Portugal,"[""Morocco"", ""Egypt"", ""Uruguay""]",easy,The verified data states Iran drew 1-1 with Portugal at the 2018 World Cup.
12,Algeria,"At the 2022 FIFA World Cup qualifiers, Algeria's poor form after which tournament caused their failure?",2021 AFCON,"[""2019 AFCON"", ""2022 Arab Cup"", ""2021 FIFA Arab Cup""]",hard,Algeria's poor form after their group stage elimination at the 2021 AFCON as defending champions carried over into the World Cup qualifiers.
12,Ecuador,"At the 2022 FIFA World Cup qualifiers, Ecuador's key home venue was at what altitude?","2,850 meters","[""2,200 meters"", ""3,600 meters"", ""1,800 meters""]",medium,"Estadio Rodrigo Paz Delgado in Quito, a key home venue for Ecuador, is located at an altitude of 2,850 meters."
12,Costa Rica,"At the 2022 FIFA World Cup, Costa Rica's squad was primarily drawn from which two leagues?",Domestic league and MLS,"[""La Liga and Serie A"", ""Premier League and Bundesliga"", ""Liga MX and Primeira Liga""]",easy,The verified fact states Costa Rica's squad draws primarily from the domestic league and MLS.
12,Jordan,"At the 2022 FIFA World Cup, Jordan's most popular sport alongside football was which other sport?",Basketball,"[""Cricket"", ""Tennis"", ""Volleyball""]",easy,The verified fact states football is one of Jordan's most popular sports alongside basketball.
12,Côte d'Ivoire,"At the 2022 FIFA World Cup, which Côte d'Ivoire striker was their key attacking focal point?",Sébastien Haller,"[""Wilfried Zaha"", ""Nicolas P\u00e9p\u00e9"", ""Maxwel Cornet""]",easy,The verified data states Sébastien Haller is the key striker for Côte d'Ivoire.
12,Jordan,"At the 2022 World Cup qualifiers, Jordan's primary stadium, Amman International, had a capacity of roughly what number?","17,619","[""13,265"", ""20,000"", ""15,000""]",medium,"The verified reference data states Amman International Stadium's capacity is approximately 17,619."
12,Austria,"At the 2022 World Cup qualifiers, which Austrian player was a key attacker?",Christoph Baumgartner,"[""David Alaba"", ""Marcel Sabitzer"", ""Marko Arnautovi\u0107""]",easy,The verified data lists Christoph Baumgartner as a key attacker for Austria.
12,Costa Rica,"At the 2022 World Cup, Costa Rica's squad mainly came from which two leagues?",Costa Rican league and,"[""Costa Rican league and MLS"", ""La Liga and Bundesliga"", ""Premier League and Serie A"", ""Liga MX and Eredivisie""]",easy,The verified data states Costa Rica's squad draws primarily from the domestic league and MLS.
12,Germany,"At the 2022 World Cup, Germany's football system had how many registered clubs?","Over 25,000","[""Over -5,000"", ""Over 10,000"", ""Over 40,000""]",medium,"The DFB, Germany's football association, oversees more than 25,000 registered clubs."
12,Ghana,"At the 2022 World Cup, Ghana beat South Korea by what score?",03-Feb,"[""2-1"", ""4-0"", ""1-0""]",easy,The verified reference data states Ghana beat South Korea 3-2 at the 2022 World Cup.
12,Ghana,"At the 2022 World Cup, Ghana lost to Uruguay by what score?",2-0,"[""1-0"", ""2-1"", ""3-1""]",easy,The verified fact states Ghana lost 2-0 to Uruguay at the 2022 World Cup.
12,Iran,"At the 2022 World Cup, Iran's squad was predominantly based in which two leagues?",Iranian and European,"[""Asian and European"", ""Middle Eastern and European"", ""Domestic and Asian""]",easy,The verified fact states Iran's squad is predominantly based in the Iranian league and European clubs.
12,Australia,"At the 2022 World Cup, when did Australia lose 2-1 to Argentina?",Round of 16,"[""Group stage"", ""Quarter-final"", ""Semi-final""]",easy,The verified fact states Australia lost 2-1 to Argentina in the 2022 World Cup round of 16.
12,Denmark,"At the 2022 World Cup, when did Denmark lose 2-1 to France?",Group stage,"[""Round of 16"", ""Quarter-final"", ""Semi-final""]",easy,The verified fact states Denmark lost 2-1 to France in the 2022 World Cup group stage.
12,Argentina,"At the 2022 World Cup, which Argentine scored 13 total goals across his last three tournaments?",Lionel Messi,"[""Gonzalo Higua\u00edn"", ""\u00c1ngel Di Mar\u00eda"", ""Juli\u00e1n \u00c1lvarez""]",easy,"The verified fact states Lionel Messi scored 13 World Cup goals across the 2014, 2018, and 2022 tournaments."
12,Brazil,"At the 2022 World Cup, which Brazilian player's creativity was Tite's 4-3-3 system built around?",Neymar,"[""Richarlison"", ""Casemiro"", ""Vinicius J\u00fanior""]",easy,The verified data states Tite's preferred formation was built around Neymar's creativity.
12,France,"At the 2022 World Cup, which five nations' leagues were represented in France's squad?","France, Spain, England, Germany,","[""France, Spain, England, Germany, Italy"", ""France,  Spain,  Portugal, England, Italy"", ""France,, England, Netherlands, Germany"", ""France, England, Italy, Germany, Belgium""]",easy,"France's 2022 World Cup squad included players from clubs in France, Spain, England, Germany, and Italy."
12,Denmark,"At the 2022 World Cup, which nation beat Denmark 2-1 in the group stage?",France,"[""Croatia"", ""Germany"", ""England""]",medium,"France beat Denmark 2-1 in the 2022 World Cup group stage, as per the verified data."
12,Senegal,"At the 2022 World Cup, which Senegalese winger provided crucial width and pace?",Ismaïla Sarr,"[""Sadio Man\u00e9"", ""Nicolas Jackson"", ""Pape Matar Sarr""]",easy,The verified data states Ismaïla Sarr provides pace and width on the wing.
12,France,"At the 2022 World Cup, which team did France beat 2-1 in the quarter-final?",England,"[""Belgium"", ""Argentina"", ""Croatia""]",easy,"France defeated England 2-1 in the 2022 World Cup quarter-final, as per the verified data."
12,Costa Rica,"At the 2022 World Cup, which two leagues supplied Costa Rica's squad?",Domestic league and MLS,"[""La Liga and Premier League"", ""Serie A and Ligue 1"", ""Bundesliga and EFL Championship""]",easy,The verified data states Costa Rica's squad draws primarily from its domestic league and MLS.
12,Denmark,"At the 2022 World Cup, which two nations did Denmark draw with and lose to?",Tunisia and France,"[""Australia and France"", ""Peru and Croatia"", ""Japan and the Netherlands""]",easy,The verified fact states Denmark drew 0-0 with Tunisia and lost 2-1 to France in the 2022 group stage.
12,USA,"At the 2022 World Cup, which US player was the youngest captain?",Tyler Adams,"[""Christian Pulisic"", ""Weston McKennie"", ""Tim Ream""]",easy,"Tyler Adams captained the USA at age 23 in Qatar 2022, setting the record."
12,DR Congo,"At the 2022 World Cup, who played for Marseille?",Chancel Mbemba,"[""C\u00e9dric Bakambu"", ""Yoane Wissa"", ""Arthur Masuaku""]",easy,Chancel Mbemba plays for Marseille and has over 60 caps for DR Congo.
12,Austria,"At the 2022 World Cup, whose midfield quality was key for Austria's qualification push?",Marcel Sabitzer,"[""David Alaba"", ""Christoph Baumgartner"", ""Marko Arnautovi\u0107""]",medium,The verified data states Marcel Sabitzer provides the midfield quality for Austria.
12,Côte d'Ivoire,"At the 2022 World Cup, why did Côte d'Ivoire's squad have significant depth?",Players from top European,"[""Players from top European leagues"", ""A strong domestic league"", ""Excellent youth academies"", ""A veteran coaching staff""]",easy,Their squad depth came from players featuring in top European leagues.
12,Jordan,"At the 2023 Asian Cup, why was Jordan's final run so remarkable?",It was an underdog,"[""It was an underdog story"", ""They were the host nation"", ""They had star players"", ""They won every match""]",easy,Jordan's unexpected success as a less-favored team defined their remarkable run.
12,Brazil,"At the 2024 Copa América, why did Brazil exit after winning their group?",Lost to Uruguay on,"[""Lost to Uruguay on penalties"", ""Lost to Argentina in final"", ""Lost to Paraguay in quarters"", ""Lost to Colombia in semis""]",easy,Brazil were eliminated in the quarter-finals by Uruguay via a penalty shootout.
12,Italy,"At the 2026 FIFA World Cup qualifiers, what is Italy's San Siro stadium capacity?","75,923","[""70,634"", ""41,507"", ""68,000""]",medium,"The verified data states the capacity of San Siro (Stadio Giuseppe Meazza) is approximately 75,923."
12,Cabo Verde,"At the 2026 FIFA World Cup, many Cabo Verde players grew up in which country?",Portugal,"[""France"", ""Spain"", ""Netherlands""]",easy,The verified data states many Cabo Verde squad players were born or raised in Portugal.
12,Côte d'Ivoire,"At the 2026 FIFA World Cup, which Côte d'Ivoire player is their exciting young talent?",Simon Adingra,"[""S\u00e9bastien Haller"", ""Franck Kessi\u00e9"", ""Nicolas P\u00e9p\u00e9""]",easy,The verified reference data identifies Simon Adingra as Côte d'Ivoire's exciting young talent.
12,USA,"At the 2026 FIFA World Cup, which nation's squad is projected to be among the youngest?",United States,"[""Canada"", ""Mexico"", ""Costa Rica""]",easy,The verified data states the USA's 2026 squad will be one of the youngest at the tournament.
12,Belgium,"At the 2026 World Cup cycle, which Belgian attacker represents the next generation?",Jérémy Doku,"[""Leandro Trossard"", ""Romelu Lukaku"", ""Lois Openda""]",easy,The verified data states Jérémy Doku represents the next generation of Belgian attacking talent.
12,Belgium,"At the 2026 World Cup cycle, which Belgian midfielder is key for the post-Golden Generation era?",Amadou Onana,"[""Kevin De Bruyne"", ""Eden Hazard"", ""Jan Vertonghen""]",easy,The reference data states Amadou Onana is the key midfielder for Belgium's post-Golden Generation era.
12,France,"At the 2026 World Cup cycle, which French midfielder replaced N'Golo Kanté?",Aurélien Tchouaméni,"[""Eduardo Camavinga"", ""Paul Pogba"", ""Adrien Rabiot""]",easy,The verified data states Aurélien Tchouaméni replaced Kanté as the midfield anchor from 2022.
12,Morocco,"At the 2026 World Cup qualifiers, Morocco will co-host the 2025 AFCON with which two nations?",Kenya and Tanzania,"[""Egypt and Algeria"", ""South Africa and Ghana"", ""Senegal and Ivory Coast""]",easy,The verified fact states Morocco co-hosts the 2025 AFCON with Kenya and Tanzania.
12,DR Congo,"At the 2026 World Cup qualifiers, which DR Congo attacker is a key Premier League forward?",Yoane Wissa,"[""C\u00e9dric Bakambu"", ""Dieumerci Mbokani"", ""Fiston Mayele""]",easy,The verified reference data states Yoane Wissa (Brentford) is a key attacker for DR Congo.
