cluster,country,question,answer
4,Algeria,Which manager guided Algeria to the 2014 FIFA World Cup?,Vahid Halilhodžić
4,Algeria,Which manager led Algeria at the 2014 FIFA World Cup?,Vahid Halilhodžić
5,Algeria,How many AFCON titles had Algeria won before 2019?,One
5,Algeria,How many AFCON titles had Algeria won before their 2019 victory?,One
6,Algeria,What was Algeria's best-ever FIFA World Cup result?,Round of 16
6,Algeria,What was Algeria's best-ever result at a FIFA World Cup?,Round of 16
7,Algeria,Which Algerian player scored the only goal to win the 2019 AFCON final?,Baghdad Bounedjah
7,Algeria,Which Algerian player scored the lone goal to win the 2019 AFCON final?,Baghdad Bounedjah
7,Algeria,Which Algerian player scored to win the 2019 AFCON final?,Baghdad Bounedjah
8,Algeria,Which Algeria player's goals helped achieve their best-ever World Cup result in 2014?,Islam Slimani
8,Algeria,Which Algeria player's goals helped them reach their best-ever World Cup result in 2014?,Islam Slimani
8,Algeria,Which Algeria player's goals in 2014 helped them achieve their best World Cup result?,Islam Slimani
9,Algeria,Which Algeria player won the Premier League in 2016?,Riyad Mahrez
9,Algeria,Which Algerian player won the Premier League in 2016?,Riyad Mahrez
9,Algeria,Which Algerian international won the Premier League in 2016?,Riyad Mahrez
9,Algeria,Which Algerian player also won the Premier League title in 2016?,Riyad Mahrez
10,Algeria,What was Algeria's exact scoreline in the 2019 AFCON final?,1-0
10,Algeria,What was Algeria's precise scoreline in the 2019 AFCON final?,1-0
10,Algeria,What was Algeria's winning margin in the 2019 AFCON final?,1-0
10,Algeria,What was Algeria's winning score in the 2019 AFCON final?,1-0
10,Algeria,What was Algeria's winning scoreline against Senegal in the 2019 AFCON final?,1-0
10,Algeria,What was Algeria's winning scoreline in the 2019 AFCON final?,1-0
11,Algeria,"Which Algerian attacker, with over 90 caps, played for Manchester City?",Riyad Mahrez
11,Algeria,"Which Algerian key attacker, with over 90 caps, played for Manchester City?",Riyad Mahrez
12,Algeria,Which Algeria player scored the winning goal in the 2019 Africa Cup of Nations final?,Baghdad Bounedjah
12,Algeria,"In the 2019 Africa Cup of Nations, which Algerian player scored the winning final goal?",Baghdad Bounedjah
13,Algeria,In which year's World Cup did Algeria nearly beat Germany in the round of 16?,2014
13,Algeria,In which FIFA World Cup did Algeria nearly beat Germany in the round of 16?,2014
14,Algeria,Which Algeria player was key to their 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algeria star was key to their 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algerian player was key to the 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algerian player was key to their 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algerian star was key to their 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algerian winger was key to their 2019 AFCON triumph?,Riyad Mahrez
14,Algeria,Which Algerian player was key to winning the 2019 AFCON?,Riyad Mahrez
15,Algeria,Which Algeria player scored in the first minute of the 2019 AFCON final?,Baghdad Bounedjah
15,Algeria,Which Algeria striker scored first in the 2019 AFCON final?,Baghdad Bounedjah
15,Algeria,Which Algeria striker scored in the first minute of the 2019 AFCON final?,Baghdad Bounedjah
16,Algeria,Which Algeria coach won the 2019 Africa Cup of Nations?,Djamel Belmadi
16,Algeria,Which Algeria manager won the 2019 Africa Cup of Nations?,Djamel Belmadi
17,Algeria,Which nation did Algeria beat in the 2019 Africa Cup of Nations final?,Senegal
17,Algeria,Algeria beat which nation in the 2019 Africa Cup of Nations final?,Senegal
17,Algeria,Which nation did Algeria defeat in the 2019 Africa Cup of Nations final?,Senegal
18,Algeria,Which Algeria player scored their only goal in the 2014 World Cup loss to Germany?,Abdelmoumene Djabou
18,Algeria,Which Algerian player scored their goal in the 2014 World Cup loss to Germany?,Abdelmoumene Djabou
18,Algeria,Which Algerian player scored in their 2014 World Cup loss to Germany?,Abdelmoumene Djabou
19,Algeria,When did Algeria's Riyad Mahrez make his World Cup debut?,2014
19,Algeria,When did Algeria's star attacker Riyad Mahrez make his World Cup debut?,2014
20,Algeria,"In the 2014 World Cup round of 16, Algeria lost to Germany by what final score?",2-1 to Germany
20,Algeria,What was the final score when Algeria lost to Germany in the 2014 World Cup round of 16?,2-1 to Germany
21,Algeria,How did Algeria qualify for the 2014 FIFA World Cup?,Through CAF qualification
21,Algeria,How did Algeria qualify for the 2014 World Cup?,Through CAF qualification
22,Algeria,What was Algeria's exact scoreline against Germany in the 2014 World Cup round of 16?,Lost 2-1
22,Algeria,What was Algeria's scoreline versus Germany in the 2014 World Cup round of 16?,Lost 2-1
23,Algeria,Which Algeria player won the 2019 AFCON but lost in the 2021 group stage?,Riyad Mahrez
23,Algeria,Which Algeria player won the 2019 AFCON but suffered group stage elimination in 2021?,Riyad Mahrez
24,Algeria,Which manager selected Algeria's squad for the 2014 FIFA World Cup?,Vahid Halilhodžić
24,Algeria,Which Algeria manager selected the squad for the 2014 FIFA World Cup?,Vahid HalilhodÅ¾iÄ‡
25,Algeria,How did Algeria secure their 2014 FIFA World Cup spot?,Through CAF qualification
25,Algeria,How did Algeria secure their spot at the 2014 FIFA World Cup?,Through CAF qualification
26,Algeria,In which year did Algeria win the 2019 AFCON final?,2019
26,Algeria,In which year did Algeria win the AFCON in 2019?,2019
27,Algeria,How did Algeria qualify for the 2026 FIFA World Cup?,Through CAF qualification
27,Algeria,"For the 2026 FIFA World Cup, how did Algeria qualify?",Through CAF qualification
28,Algeria,Which Algerian attacker led their 2022 FIFA World Cup qualifying squad?,Riyad Mahrez
28,Algeria,Which Algerian star attacker led their 2022 World Cup qualifying squad?,Riyad Mahrez
29,Algeria,Which Algeria forward scored key goals at the 2014 FIFA World Cup?,Islam Slimani
29,Algeria,Which Algerian forward scored key goals at the 2014 FIFA World Cup?,Islam Slimani
29,Algeria,Which Algerian player scored key goals at the 2014 FIFA World Cup?,Islam Slimani
29,Algeria,Which Algerian player scored two goals at the 2014 FIFA World Cup?,Islam Slimani
30,Algeria,Which Algeria player scored within 2 minutes of the 2019 AFCON final?,Baghdad Bounedjah
30,Algeria,Which Algerian player scored within 2 minutes of the 2019 AFCON final?,Baghdad Bounedjah
30,Algeria,Which Algerian scored within 2 minutes of the 2019 AFCON final?,Baghdad Bounedjah
31,Algeria,Which Algeria player won the Premier League with Leicester City in 2016?,Riyad Mahrez
31,Algeria,Which Algerian player won the Premier League with Leicester City in 2016?,Riyad Mahrez
31,Algeria,Which Algerian star won the Premier League with Leicester City in 2016?,Riyad Mahrez
32,Algeria,Which nation did Algeria face in the 2014 World Cup round of 16?,Germany
32,Algeria,Which nation did Algeria lose to in the 2014 World Cup round of 16?,Germany
33,Algeria,In which World Cup year did Algeria lose 2-1 to Germany?,2014
33,Algeria,Which World Cup did Algeria lose 2-1 to Germany?,2014
34,Algeria,Which Algeria player scored within two minutes of the 2019 AFCON final?,Baghdad Bounedjah
34,Algeria,Which Algerian player scored within two minutes of the 2019 AFCON final?,Baghdad Bounedjah
34,Algeria,Which Algerian striker scored within two minutes of the 2019 AFCON final?,Baghdad Bounedjah
34,Algeria,Which Algerian forward scored within two minutes of the 2019 AFCON final?,Baghdad Bounedjah
35,Algeria,Which Algerian player became their all-time top scorer by 2022?,Islam Slimani
35,Algeria,Which Algerian striker became their all-time top scorer by 2022?,Islam Slimani
36,Algeria,In which FIFA World Cup did Algeria's Riyad Mahrez make his tournament debut?,2014 World Cup
36,Algeria,In which World Cup did Algeria's star attacker Riyad Mahrez make his tournament debut?,2014 World Cup
37,Algeria,Which Algeria striker had over 40 international goals by the 2022 FIFA World Cup?,Islam Slimani
37,Algeria,Which Algeria player had over 40 goals by the 2022 FIFA World Cup?,Islam Slimani
38,Algeria,Which Algeria player is the nation's all-time leading scorer?,Islam Slimani
38,Algeria,Which Algerian player is the nation's all-time leading scorer?,Islam Slimani
38,Algeria,Which Algerian player is the nation's all-time top scorer?,Islam Slimani
39,Algeria,Which Algerian star attacker led their 2018 World Cup qualification campaign?,Riyad Mahrez
39,Algeria,Which Algerian star attacker led their 2018 World Cup qualifying campaign?,Riyad Mahrez
40,Algeria,Which Algeria player's goals were key to their 2014 World Cup round of 16 run?,Islam Slimani
40,Algeria,Which Algerian player's goals were key to their 2014 World Cup round of 16 run?,Islam Slimani
41,Algeria,Which manager led Algeria's 2014 World Cup qualifying campaign?,Vahid HalilhodÅ¾iÄ‡
41,Algeria,Which manager led Algeria's qualifying campaign for the 2014 World Cup?,Vahid HalilhodÅ¾iÄ‡
42,Algeria,How many AFCON titles had Algeria won by 2019?,Two
42,Algeria,How many AFCON titles had Algeria won by the 2019 tournament?,Two
43,Algeria,In which World Cup did Algeria reach the round of 16?,2014
43,Algeria,In which year did Algeria reach the FIFA World Cup round of 16?,2014
44,Algeria,Which Algeria international won the 2016 Premier League with Leicester City?,Riyad Mahrez
44,Algeria,Which Algerian international won the 2016 Premier League with Leicester City?,Riyad Mahrez
44,Algeria,Which Algerian winger won the 2016 Premier League with Leicester City?,Riyad Mahrez
45,Algeria,Which two consecutive FIFA World Cups did Algeria fail to qualify for?,2018 and 2022
45,Algeria,For which two consecutive World Cups did Algeria fail to qualify?,2018 and 2022
46,Algeria,Which Algeria player scored in the 2nd minute of the 2019 AFCON final?,Baghdad Bounedjah
46,Algeria,Which Algeria player scored in the second minute of the 2019 AFCON final?,Baghdad Bounedjah
46,Algeria,Which Algerian player scored in the 2nd minute of the 2019 AFCON final?,Baghdad Bounedjah
47,Algeria,"Which Algerian player is their all-time leading scorer, featuring at the 2014 World Cup?",Islam Slimani
47,Algeria,Which Algerian player at the 2014 World Cup is their all-time top scorer?,Islam Slimani
48,Algeria,Who coached Algeria at the 2014 FIFA World Cup?,Vahid Halilhodžić
48,Algeria,Who managed Algeria at the 2014 FIFA World Cup in Brazil?,Vahid Halilhodžić
48,Algeria,Who managed Algeria at the 2014 FIFA World Cup?,Vahid Halilhodžić
49,Algeria,Which Algerian player is the national team's all-time leading scorer?,Islam Slimani
49,Algeria,Which Algerian striker is the national team's all-time leading scorer?,Islam Slimani
50,Algeria,Which Algeria player scored the 1-0 winner in the 2019 AFCON final?,Baghdad Bounedjah
50,Algeria,Which Algerian player scored the 1-0 winner in the 2019 AFCON final?,Baghdad Bounedjah
51,Algeria,What was the final score when Algeria won the 2019 AFCON?,1-0
51,Algeria,What was the score when Algeria won the 2019 AFCON final?,1-0
52,Algeria,Who helped Algeria in 2019 AFCON?,Riyad Mahrez
52,Algeria,Who helped Algeria in 2019?,Riyad Mahrez
53,Algeria,When did Algeria qualify for the 2014 FIFA World Cup?,2013
53,Algeria,When did Algeria qualify for the 2014 World Cup?,2013
54,Algeria,Which Algeria manager led the team to their 2019 AFCON title?,Djamel Belmadi
54,Algeria,Which manager led Algeria to the 2019 AFCON title?,Djamel Belmadi
54,Algeria,Which manager led Algeria to their 2019 AFCON title?,Djamel Belmadi
55,Algeria,Which manager led Algeria at the 2014 World Cup in Brazil?,Vahid Halilhodžić
55,Algeria,Which manager led Algeria to the 2014 World Cup in Brazil?,Vahid Halilhodžić
55,Algeria,Which manager led Algeria to the 2014 World Cup?,Vahid Halilhodžić
56,Algeria,Which Algeria player scored in the 2-1 loss to Germany at the 2014 World Cup?,Abdelmoumene Djabou
56,Algeria,Which Algeria player scored their goal in the 2-1 2014 World Cup loss to Germany?,Abdelmoumene Djabou
57,Algeria,In which World Cup did Algeria achieve their best-ever result?,2014 FIFA World Cup
57,Algeria,In which World Cup did Algeria reach their best-ever result?,2014 FIFA World Cup
58,Algeria,Which Algeria captain lifted the AFCON trophy in 2019?,Riyad Mahrez
58,Algeria,Which Algerian captain lifted the AFCON trophy in 2019?,Riyad Mahrez
59,Algeria,Which Algerian player is their all-time leading scorer in FIFA World Cup qualifiers?,Islam Slimani
59,Algeria,Which Algerian player is the nation's all-time leading scorer in FIFA World Cup qualifiers?,Islam Slimani
60,Algeria,Which Algerian player became their top scorer during 2022 World Cup qualifying?,Islam Slimani
60,Algeria,Which Algerian player became their all-time top scorer during 2022 World Cup qualifying?,Islam Slimani
61,Algeria,Which Algeria manager qualified them for the 2014 World Cup?,Vahid Halilhodžić
61,Algeria,Which manager qualified Algeria for the 2014 FIFA World Cup?,Vahid Halilhodžić
62,Algeria,Which African nation did Algeria beat in the 2019 AFCON final?,Senegal
62,Algeria,Which African nation did Algeria defeat in the 2019 AFCON final?,Senegal
62,Algeria,Which CAF nation did Algeria defeat in the 2019 AFCON final?,Senegal
63,Algeria,Which team beat Algeria 2-1 at the 2014 World Cup?,Germany
63,Algeria,Which team beat Algeria 2-1 at the 2014 World Cup in Brazil?,Germany
64,Algeria,"In the 2019 AFCON final, Algeria beat Senegal by what score?",1-0
64,Algeria,Algeria beat Senegal in the 2019 AFCON final by what scoreline?,1-0
65,Algeria,In which World Cup did Algeria nearly beat Germany in the round of 16?,2014 World Cup
65,Algeria,At which World Cup did Algeria nearly beat Germany in the round of 16?,2014 World Cup
66,Algeria,Who was Algeria's manager at the 2014 FIFA World Cup?,Vahid Halilhodžić
66,Algeria,Who was the Algeria manager at the 2014 FIFA World Cup?,Vahid HalilhodÅ¾iÄ‡
67,Algeria,Which Algerian player's 2016 Premier League win boosted his World Cup profile?,Riyad Mahrez
67,Algeria,Which Algerian player's Premier League win in 2016 boosted his FIFA World Cup team's profile?,Riyad Mahrez
68,Algeria,"In the 2019 AFCON final, how early did Algeria's Baghdad Bounedjah score?",In the 2nd minute
68,Algeria,How early did Algeria's Baghdad Bounedjah score in the 2019 AFCON final?,In the 2nd minute
69,Algeria,Which Algeria manager led them to victory in the 2019 Africa Cup of Nations?,Djamel Belmadi
69,Algeria,Which manager led Algeria to victory at the 2019 Africa Cup of Nations?,Djamel Belmadi
70,Algeria,Which Algeria player scored in their 2019 AFCON final win?,Baghdad Bounedjah
70,Algeria,Which Algerian player scored in their 2019 AFCON final win?,Baghdad Bounedjah
71,Algeria,Which Algeria coach secured their 2014 World Cup qualification?,Vahid Halilhodžić
71,Algeria,Which Algeria manager secured their 2014 World Cup qualification?,Vahid HalilhodÅ¾iÄ‡
72,Algeria,Which Algeria manager led the team against Germany in the 2014 World Cup?,Vahid Halilhodžić
72,Algeria,Which Algeria manager led them against Germany in the 2014 World Cup?,Vahid Halilhodžić
73,Argentina,How many wins did Argentina record in 2022 World Cup qualifying?,11 wins
73,Argentina,How many wins did Argentina achieve in 2022 World Cup qualifying?,11 wins
74,Argentina,Which team did Argentina beat on penalties in the 2022 World Cup quarter-final?,Netherlands
74,Argentina,Which team did Argentina defeat on penalties in the 2022 World Cup quarter-final?,Netherlands
75,Argentina,Which Argentina player reversed his 2016 retirement before the 2018 World Cup?,Lionel Messi
75,Argentina,Which Argentina star reversed his 2016 retirement before the 2018 World Cup?,Lionel Messi
76,Argentina,Which nation did Argentina beat in the 2024 Copa América final?,Colombia
76,Argentina,Which nation did Argentina defeat in the 2024 Copa América final?,Colombia
76,Argentina,Which team did Argentina beat in the 2024 Copa América final?,Colombia
77,Argentina,Which Argentina player scored regularly in 2026 World Cup qualifying?,Lautaro Martínez
77,Argentina,Which Argentina forward scored regularly in 2026 World Cup qualifying?,Lautaro Martínez
77,Argentina,Which Argentina player scored regularly in their 2026 World Cup qualifying campaign?,Lautaro Martínez
77,Argentina,Which Argentina striker scored regularly in 2026 World Cup qualifying?,Lautaro Martínez
78,Argentina,Which Argentina player missed a penalty in their 2018 World Cup opener?,Lionel Messi
78,Argentina,Which Argentina player missed a penalty in the 2018 World Cup opener?,Lionel Messi
78,Argentina,Which Argentina player missed a penalty in their 2018 World Cup opener against Iceland?,Lionel Messi
79,Argentina,Which team finished above Argentina in 2022 FIFA World Cup CONMEBOL qualifying?,Brazil
79,Argentina,Which CONMEBOL team finished above Argentina in 2022 World Cup qualifying?,Brazil
80,Argentina,Which Argentine player won the Golden Ball award at the 2022 FIFA World Cup?,Lionel Messi
80,Argentina,Which Argentine won the Golden Ball award at the 2022 FIFA World Cup?,Lionel Messi
81,Argentina,Which Argentine forward partnered Messi in the 2022 World Cup attack?,Julián Álvarez
81,Argentina,Which Argentine forward partnered Messi in attack at the 2022 FIFA World Cup?,Julián Álvarez
82,Argentina,Which Argentina player won the Golden Ball at the 2014 FIFA World Cup?,Lionel Messi
82,Argentina,Which Argentine player won the Golden Ball at the 2014 FIFA World Cup?,Lionel Messi
82,Argentina,Which Argentine won the Golden Ball at the 2014 World Cup?,Lionel Messi
82,Argentina,Which Argentine won the World Cup Golden Ball in 2014?,Lionel Messi
83,Argentina,Why did Argentina use multiple stadiums for 2022 World Cup qualifiers?,Played matches across country
83,Argentina,Why did Argentina use several stadiums for 2022 World Cup qualifiers?,Played matches across country
84,Argentina,Which nation did Argentina beat 3-0 in the 2022 Finalissima?,Italy
84,Argentina,Which team did Argentina beat 3-0 in the 2022 Finalissima?,Italy
84,Argentina,Which team did Argentina defeat 3-0 in the 2022 Finalissima?,Italy
85,Argentina,Which team beat Argentina in the 2014 World Cup final?,Germany
85,Argentina,Which team defeated Argentina in the 2014 World Cup final?,Germany
86,Argentina,Which Argentina manager won the 2022 FIFA World Cup?,Lionel Scaloni
86,Argentina,Which Argentina manager won the 2022 World Cup?,Lionel Scaloni
87,Argentina,Which Argentina goalkeeper won the Golden Glove at the 2024 Copa América?,Emiliano Martínez
87,Argentina,Which Argentina keeper won the Golden Glove at the 2024 Copa América?,Emiliano Martínez
87,Argentina,Which Argentina player won the 2024 Copa América Golden Glove?,Emiliano Martínez
87,Argentina,Which Argentina keeper won the 2024 Copa América Golden Glove?,Emiliano Martínez
88,Argentina,Which Argentina player won the Young Player Award at the 2022 FIFA World Cup?,Enzo Fernández
88,Argentina,Which Argentine midfielder won the Young Player Award at the 2022 World Cup?,Enzo Fernández
88,Argentina,Which Argentine player won the Young Player Award at the 2022 FIFA World Cup?,Enzo Fernández
88,Argentina,Which Argentina midfielder won the 2022 FIFA World Cup Young Player Award?,Enzo Fernández
88,Argentina,Which Argentine midfielder won the 2022 World Cup Young Player Award?,Enzo Fernández
89,Argentina,Which Argentina midfielder was a key player in the 2022 World Cup-winning squad?,Rodrigo De Paul
89,Argentina,Which Argentina midfielder was key in their 2022 World Cup-winning squad?,Rodrigo De Paul
89,Argentina,Which Argentina midfielder was key to their 2022 World Cup-winning squad?,Rodrigo De Paul
89,Argentina,Which Argentine midfielder was key in their 2022 World Cup-winning squad?,Rodrigo De Paul
89,Argentina,Which Argentina midfielder was a key player in their 2022 World Cup-winning squad?,Rodrigo De Paul
89,Argentina,Which Argentina midfielder was a key starter in the 2022 World Cup-winning squad?,Rodrigo De Paul
90,Argentina,In which year did Lionel Messi win his first major trophy with Argentina?,2021
90,Argentina,In which year did Lionel Messi celebrate his first major international trophy with Argentina?,2021
91,Argentina,In which years did Argentina lose consecutive Copa América finals to Chile?,2015 and 2016
91,Argentina,Which two years did Argentina lose Copa América finals to Chile?,2015 and 2016
91,Argentina,In which two consecutive Copa América finals did Argentina lose to Chile?,2015 and 2016
91,Argentina,In which years did Argentina lose Copa América finals to Chile?,2015 and 2016
91,Argentina,Which two Copa América finals did Argentina lose to Chile?,2015 and 2016
92,Argentina,Which Argentina manager led them to the 2014 World Cup final?,Alejandro Sabella
92,Argentina,Which Argentine manager led them to the 2014 World Cup final?,Alejandro Sabella
92,Argentina,Which manager led Argentina to the 2014 World Cup final?,Alejandro Sabella
93,Argentina,Which Argentina player scored the decisive 2022 World Cup final penalty?,Gonzalo Montiel
93,Argentina,Which Argentina player scored the decisive penalty in the 2022 World Cup final shootout?,Gonzalo Montiel
93,Argentina,Which Argentina player scored the decisive 2022 World Cup final shootout penalty?,Gonzalo Montiel
93,Argentina,Which Argentina player scored the decisive penalty in the 2022 World Cup final?,Gonzalo Montiel
94,Argentina,Which Argentina forward emerged as a key partner to Messi at the 2022 World Cup?,Julián Álvarez
94,Argentina,Which Argentine forward emerged as a key partner to Messi at the 2022 World Cup?,Julián Álvarez
95,Argentina,Which player scored Germany's extra-time winner against Argentina in the 2014 World Cup final?,Mario Götze
95,Argentina,Which player scored the extra-time winner for Germany against Argentina in the 2014 World Cup final?,Mario Götze
96,Argentina,Which Argentina manager emphasized defensive solidity over individual brilliance?,Lionel Scaloni
96,Argentina,Which Argentina manager prioritized defensive solidity over individual brilliance?,Lionel Scaloni
97,Argentina,Which Argentine scored in every 2022 World Cup knockout round?,Lionel Messi
97,Argentina,"In the 2022 World Cup, which Argentine scored in every knockout round?",Lionel Messi
97,Argentina,Which Argentina player scored in every 2022 World Cup knockout round?,Lionel Messi
97,Argentina,Which Argentine player scored in every 2022 World Cup knockout round?,Lionel Messi
98,Argentina,Which Argentina player won Best Player at the 2021 Copa América?,Lionel Messi
98,Argentina,Which Argentina player won the 2021 Copa América Best Player award?,Lionel Messi
98,Argentina,Which Argentine player won the 2021 Copa América Best Player award?,Lionel Messi
98,Argentina,Which Argentina star won Best Player at the 2021 Copa América?,Lionel Messi
98,Argentina,Which Argentine player won the Copa América Best Player award in 2021?,Lionel Messi
99,Argentina,Which Argentina manager was first appointed on an interim basis in November 2018?,Lionel Scaloni
99,Argentina,Which Argentina manager was initially appointed on an interim basis in November 2018?,Lionel Scaloni
100,Argentina,Where did Argentina train for the 2022 FIFA World Cup?,AFA complex in Ezeiza
100,Argentina,Where did Argentina train before the 2022 FIFA World Cup?,AFA complex in Ezeiza
101,Argentina,Which two Argentine players scored in the 2022 World Cup semi-final win over Croatia?,Messi and Álvarez
101,Argentina,Which two Argentines scored in the 2022 World Cup semi-final win over Croatia?,Messi and Álvarez
101,Argentina,Which two Argentina players scored in the 2022 World Cup semi-final win over Croatia?,Messi and Álvarez
102,Argentina,Where did Argentina finish in the 2022 World Cup CONMEBOL qualification?,Second place
102,Argentina,Where did Argentina finish in CONMEBOL 2022 World Cup qualification?,Second place
102,Argentina,Where did Argentina finish in CONMEBOL 2022 World Cup qualifying?,Second place
103,Argentina,Which Argentina forward partnered Messi at the 2022 World Cup?,Julián Álvarez
103,Argentina,Which Argentina forward partnered Messi up front at the 2022 World Cup?,Julián Álvarez
103,Argentina,Which Argentina forward partnered Lionel Messi at the 2022 FIFA World Cup?,Julián Álvarez
104,Argentina,Which Argentina player celebrated emotionally after the 2021 Copa América win?,Lionel Messi
104,Argentina,Which Argentina player celebrated emotionally after winning the 2021 Copa América?,Lionel Messi
105,Argentina,Which year did Argentina reach FIFA number 1 after the 2022 World Cup?,2023
105,Argentina,"After winning the 2022 World Cup, which year did Argentina first reach the FIFA number 1 ranking?",2023
106,Argentina,What was Argentina's winning margin over Brazil in the 2021 Copa América final?,1-0
106,Argentina,What was Argentina's winning margin in the 2021 Copa América final?,1-0
107,Argentina,Which Argentine player was the Best Player at the 2021 Copa América?,Lionel Messi
107,Argentina,Which Argentine player was the Copa América Best Player in 2021?,Lionel Messi
108,Argentina,Which Argentina player scored from offside against Mexico in the 2010 World Cup?,Carlos Tévez
108,Argentina,Which Argentina player scored an offside goal against Mexico in the 2010 World Cup?,Carlos Tévez
109,Argentina,Which FIFA ranking did Argentina hold at the 2022 World Cup?,3rd
109,Argentina,Which FIFA ranking did Argentina hold before the 2022 World Cup?,3rd
110,Argentina,Which Argentina midfielder was key in their 2021 Copa América and 2022 World Cup triumphs?,Rodrigo De Paul
110,Argentina,Which Argentine midfielder was key in the 2021 Copa América and 2022 World Cup?,Rodrigo De Paul
110,Argentina,Which Argentina midfielder was key in the 2021 Copa América and 2022 World Cup triumphs?,Rodrigo De Paul
111,Argentina,Which team beat Argentina on penalties in the 2016 Copa América final?,Chile
111,Argentina,Which team beat Argentina in the 2016 Copa América final?,Chile
111,Argentina,Which team beat Argentina on penalties in the 2016 Copa América Centenario final?,Chile
112,Argentina,Which Argentina player was captain at the 2022 World Cup?,Lionel Messi
112,Argentina,Which Argentina player was the team captain at the 2022 FIFA World Cup?,Lionel Messi
113,Argentina,"At the 2018 World Cup, which Argentina manager was sacked after the round of 16 exit?",Jorge Sampaoli
113,Argentina,Which Argentina manager was sacked after their 2018 World Cup round of 16 exit?,Jorge Sampaoli
113,Argentina,Which Argentina manager was sacked after a round of 16 exit at the 2018 World Cup?,Jorge Sampaoli
113,Argentina,Which manager was sacked after Argentina's 2018 World Cup round of 16 exit?,Jorge Sampaoli
114,Argentina,Which Argentine player won the Premier League Golden Boot in the 2014-15 season?,Sergio Agüero
114,Argentina,Which Argentine won the 2014-15 Premier League Golden Boot?,Sergio Agüero
114,Argentina,Which Argentine won the Premier League Golden Boot in 2014-15?,Sergio Agüero
115,Argentina,Which 2022 World Cup quarter-final opponent did Argentina beat on penalties?,Netherlands
115,Argentina,Which 2022 World Cup opponent did Argentina beat on penalties?,Netherlands
116,Argentina,Which Argentina midfielder was key in their 2022 World Cup win?,Rodrigo De Paul
116,Argentina,Which Argentina midfielder was key to their 2022 World Cup win?,Rodrigo De Paul
116,Argentina,Which Argentine midfielder was key in their 2022 World Cup win?,Rodrigo De Paul
